scientific_name,validation_stratum,candidate_rank,source_selection_basis,relation_kind,mode_a,mode_b,snapshot_taxonomy_state,mode_sampling_state,paired_discordance_state
Capsella bursa-pastoris,temperate_annual_herb,1,widespread annual herb analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Stellaria media,temperate_annual_herb,2,widespread annual herb fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Senecio vulgaris,temperate_annual_herb,3,widespread annual herb fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Betula pendula,temperate_deciduous_tree,1,widespread deciduous tree analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Fagus sylvatica,temperate_deciduous_tree,2,widespread deciduous tree fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Acer pseudoplatanus,temperate_deciduous_tree,3,widespread deciduous tree fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Picea abies,boreal_temperate_conifer,1,boreal temperate conifer analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Juniperus communis,boreal_temperate_conifer,2,widespread conifer fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Abies alba,boreal_temperate_conifer,3,temperate montane conifer fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Phalaris arundinacea,wetland_grass,1,widespread wetland graminoid analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Glyceria maxima,wetland_grass,2,wetland graminoid fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Calamagrostis canadensis,wetland_grass,3,wetland graminoid fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Vaccinium myrtillus,temperate_shrub,1,widespread temperate shrub analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Ulex europaeus,temperate_shrub,2,temperate shrub fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Rubus idaeus,temperate_shrub,3,temperate shrub fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Pteridium aquilinum,fern,1,widespread fern analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Athyrium filix-femina,fern,2,widespread fern fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Polypodium vulgare,fern,3,widespread fern fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Artemisia tridentata,arid_shrub,1,arid shrub analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Atriplex canescens,arid_shrub,2,arid shrub fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Encelia farinosa,arid_shrub,3,arid shrub fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Avicennia germinans,tropical_mangrove,1,tropical mangrove analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Avicennia marina,tropical_mangrove,2,tropical mangrove fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Laguncularia racemosa,tropical_mangrove,3,tropical mangrove fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Nothofagus antarctica,southern_temperate_tree,1,southern temperate tree analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Nothofagus betuloides,southern_temperate_tree,2,southern temperate tree fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Eucalyptus globulus,southern_temperate_tree,3,southern hemisphere tree fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Abies lasiocarpa,montane_tree,1,montane tree analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Pinus cembra,montane_tree,2,montane tree fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Eucalyptus delegatensis,montane_tree,3,montane tree fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Picea glauca,boreal_conifer,1,boreal conifer analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Larix laricina,boreal_conifer,2,boreal conifer fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Pinus banksiana,boreal_conifer,3,boreal conifer fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Typha angustifolia,wetland_emergent,1,widespread wetland emergent analog selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Iris pseudacorus,wetland_emergent,2,widespread wetland emergent fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
Schoenoplectus tabernaemontani,wetland_emergent,3,widespread wetland emergent fallback selected before eligibility query,same_target_independent_source,PRESERVED_SPECIMEN,HUMAN_OBSERVATION,unopened,unopened,unopened
