taxon_index,taxon,artifact_id,archive_sha256
0,Abies amabilis,9990895486,4c878463a19b25feb9bfb6269ef686bdd01bbce9b1005c20f4e259ab7d2f4df8
1,Abies grandis,9991107796,e77039d920db1103b46be2e05bd9c672c2cc99ae00ed1320c8834945ebef0227
2,Abies magnifica,9990711971,7eec84035b1535ca8491b26936bf331f0ae8c9d456d17ffdd6577d3712633069
3,Abies procera,9991438679,07bdd9b97ccfe76b1485441fc44b5085a7f3346ef5c9bbdbd8fdd7e4d5965027
4,Abies sibirica,9991415470,bd99ed161a923ffb1b0dc8e5c5dc39bb7c50667eff5d8dac8aab408fd7f164ab
5,Acacia melanoxylon,9991602363,e766b3a4f0909153d43d811497200117e720ea605c495c0edf81601575ee139f
6,Acorus calamus,9991846502,ccd4cc295cdfeb54ff5e90ad890f6641f06dddb0a57ea89151bb610b925ebb6e
7,Aegiceras corniculatum,9990917446,1e6a40138966b0ec3950e8dace9607c987f4f7ea36d74bd06edb1e5aa2e7c837
9,Ambrosia dumosa,9990371286,ef5c335b1615a1e388ff9e4f51e199e52036bd5307ddc17c581b8a207d73d5ce
10,Artemisia filifolia,9990748607,e69bc690b21c8159b6cacae70b83e3feb625136b4dfaa9cd2ae4a7107d754e88
11,Atriplex confertifolia,9990834620,28a05d0da7892b5f3fb81e562fc5ab28b33dbec6d9ae669f9e874112935d2333
12,Atriplex lentiformis,9991736761,21970fe2693735adbe869014c9fdb27a747069bb437cffeddb55d60f6014a06b
13,Butomus umbellatus,9993366774,ac075efefb3b7a3ce9857cd713101f10837d4cf080ce74f95471b96c22a078b6
14,Carpinus betulus,9994118529,fd691e6c0c6d2ae4a814b1c6324723164c0a043b1c9329a4796b55479e868d85
15,Ceriops tagal,9992349986,b0e5448a277103eccac8bf9027a5c711f7dca48090797a2b3a8bde973c82d6b6
16,Chamaecyparis lawsoniana,9992940818,e4c930a7e89dc6451bd9ef293298579c4a0bde1b0f76dfe83788559d9e5767c4
17,Cornus sanguinea,9994754558,ce0fdba2865646cb202e4ef710b2fb8646bbdf57bf408a3ab3650241cf98d4f3
18,Ephedra nevadensis,9992482545,26120966d46f5115cd7d5ab6cfd757ca25508ffc04ee69e5d66d67d28a28fd7e
19,Eucalyptus baxteri,9992134855,c43bdc31b997953b9cc47c7a72423ef2a115525bd24019ac1b198bb2fe947316
20,Eucalyptus nitens,9992706215,49f9569b02f68dd622c1c69f2d7f85b16a3a6c0e1024fc75381feb5afecd9441
21,Eucalyptus viminalis,9993722852,b5f0b8ff37a904614bc265c00e1326677d0fed64763be594d208719387f87fdb
22,Euonymus europaeus,9995903000,473525095c494dfd535a539592081ea6a2648c2cfca7fa58609a3576d5dc5e29
23,Geranium dissectum,9995700724,e8a7f11a3c0ed828c877a4d2784a14e7eb52b63fed8671af931e633bac775e80
24,Gutierrezia sarothrae,9993928859,498f3c97ec955a7f6c8c3e2aaaf5d4c163d3f08a09f99e9acd523e1eac841729
25,Leersia oryzoides,9994824445,508d00d624ee76458608d24c04a64a47e298774a9faebc963952db7994aa55b7
26,Ligustrum vulgare,9996107266,69383940b6364c3662251bdd6a6c48665371f10039fcb3bdc22d15657879b672
27,Lumnitzera racemosa,9994012859,a681e6dc354aa7476fca253ee5a5ea0a107f02b403a5cf2fddcdcfeedddae696
28,Onoclea sensibilis,9995336244,6509da4fe4906490140aeb3d549b8e99af875d8dc186cbb68e4813c2c7a407f1
29,Picea obovata,9995662197,b87c5eea3bd5a30c4442e0b6e6d71e389a5f60c48ca79a5776a0d532ec6d5690
30,Pinus flexilis,9995486344,881d299a401ea3e11ce14a3859fa55dd0927936e9ba196963a5a1e278aefb32f
31,Pinus ponderosa,9996562237,2ef0d5a1b52abe941b859a16d15971b50c7b4ee51ab5721ff00672dbe8ebf6cf
32,Pinus sibirica,9996077592,fde585cdbf86327863bf5925268087384e6a8078a08d297474381a6991b0f2e4
33,Pinus strobus,9996753764,6e360be46c6fc38f96336a029c2eae0c21298958337c8e235cc7670ad231e892
34,Polystichum setiferum,9996331557,a4f02959ee715b284f4eff1f8b09e77fe85425927f4258142bad42246083d546
36,Quercus petraea,9997760662,d6281c5701b39da8fa1456139bc19bf3492f859f6320a65d92d3490d1317ae99
37,Sonneratia alba,9996346444,f12df9c281c2636c75387e9717a1ba09e0d1017b6ae2d5e04272036ba3ca3795
38,Sparganium erectum,9998540087,c62e803536891f51c6f98237ab14b639dbd02eb80aa34987df0b04ffeaa60d32
39,Tilia cordata,9999770293,5ff83805cb22f4da4672bc3f36e0a5454ccb528a0c5f7688eb28691238f314a1
40,Tsuga canadensis,9997844934,8fb3fae645d72e5cc50096411ccd45ee0f3cd76b930f55a4e8fc994e2066cbe6
41,Tsuga mertensiana,9997672806,ef188bd5c518528a5fb2fe72f5da5df93a2c00cd6cb3f03b070d5eea142d9839
42,Veronica arvensis,10000767767,ca4d7f16505ca1d882b92cf379f9ad5bbb93e213cd5852b21baf1ec31fff49d7
43,Viburnum opulus,10000829734,217270fd1aeac998a2ae4aea4918682fce4c8fa9d50d006efd39c4f09c22b00c
44,Viola arvensis,10001171752,5b05714b49d6025beb3e7cb63dadee68fac3c6aeba72732ce7bf9edb3f64f8c4
45,Woodwardia fimbriata,9997878387,972057ac0c36f2e08bb0c7a46c2e22b90b60f7c5bbb481eab0d7263ddab9307d
46,Xylocarpus granatum,9997666610,49221e5147228717e34b16c194cb7067ec30a8ffc94174a00390eb545faa2eb5
